DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
03/29/2024,1,4,BTE_BTE_G4,PCCRN,4.02,N
03/29/2024,1,4,BTE_CC1,LCCRN,4.02,N
03/29/2024,1,4,BTE_PUN1,PUN,4.02,N
03/29/2024,1,4,BTE_PUN2,PUN,4.02,N
03/29/2024,1,4,BTM_ALL,RN,4.41,N
03/29/2024,1,4,BUCHAN_ALL,RN,2.3,N
03/29/2024,1,4,BUCKTHRN_RN,RN,0.52,N
03/29/2024,1,4,BUFF_GAP_ALL,RN,-5.99,N
03/29/2024,1,4,BULLCRK_1_2,RN,-4.29,N
03/29/2024,1,4,BVE_CC1,LCCRN,4.11,N
03/29/2024,1,4,BVE_UNIT1,PCCRN,4.11,N
03/29/2024,1,4,BVE_UNIT2,PCCRN,4.11,N
03/29/2024,1,4,BVE_UNIT3,PCCRN,4.11,N
03/29/2024,1,4,BYRDR_ES_ALL,RN,4.86,N
03/29/2024,1,4,BYU_BYU_1,RN,4.08,N
03/29/2024,1,4,BYU_BYU_12,PCCRN,4.08,N
03/29/2024,1,4,BYU_BYU_34,PCCRN,4.08,N
03/29/2024,1,4,BYU_BYU_G8,RN,4.08,N
03/29/2024,1,4,BYU_CC1,LCCRN,4.08,N
03/29/2024,1,4,BYU_G4_RN,PCCRN,4.08,N
03/29/2024,1,4,BYU_PUN1,PUN,4.08,N
03/29/2024,1,4,BYU_PUN2,PUN,4.08,N
03/29/2024,1,4,BYU_PUN3,PUN,4.08,N
03/29/2024,1,4,BYU_PUN4,PUN,4.08,N
03/29/2024,1,4,B_DAVIS_3,PCCRN,-7.61,N
03/29/2024,1,4,B_DAVIS_4,PCCRN,-7.61,N
03/29/2024,1,4,B_DAVIS_CC1,LCCRN,-7.61,N
03/29/2024,1,4,B_D_B_DAVIG1,RN,-7.61,N
03/29/2024,1,4,B_D_B_DAVIG2,PCCRN,-7.61,N
03/29/2024,1,4,CABEZON_ALL,RN,-35.85,N
03/29/2024,1,4,CALAVER_JKS1,RN,3.1,N
03/29/2024,1,4,CALAVER_JKS2,RN,3.1,N
03/29/2024,1,4,CALAVER_JTD1,RN,2.52,N
03/29/2024,1,4,CALAVER_JTD2,RN,2.52,N
03/29/2024,1,4,CALAVER_OWS1,RN,2.52,N
03/29/2024,1,4,CALAVER_OWS2,RN,2.52,N
03/29/2024,1,4,CALHOUN_ALL,RN,25.92,N
03/29/2024,1,4,CALLAHA_WND1,RN,-5.26,N
03/29/2024,1,4,CAL_CALGT1,PCCRN,4.05,N
03/29/2024,1,4,CAL_CALSTG1,PCCRN,4.05,N
03/29/2024,1,4,CAL_CC1,LCCRN,4.05,N
03/29/2024,1,4,CAL_PUN1,PUN,4.05,N
03/29/2024,1,4,CAL_PUN2,PUN,4.05,N
03/29/2024,1,4,CAMWIND_RN,RN,-9.85,N
03/29/2024,1,4,CANYONWD_ALL,RN,-5.61,N
03/29/2024,1,4,CAPRIDG4_CR4,RN,-6.43,N
03/29/2024,1,4,CAPRIDGE_ALL,RN,-6.43,N
03/29/2024,1,4,CARBN_BSP_1,RN,-2.04,N
03/29/2024,1,4,CASL_GAP_UN1,RN,11.4,N
03/29/2024,1,4,CATARINA_B1,RN,-4.23,N
03/29/2024,1,4,CBECII_89,PCCRN,4.15,N
03/29/2024,1,4,CBECII_CC3,LCCRN,4.15,N
03/29/2024,1,4,CBECII_CT7,PCCRN,4.15,N
03/29/2024,1,4,CBEC_ALL,PCCRN,6.86,N
03/29/2024,1,4,CBEC_CC1,LCCRN,6.86,N
03/29/2024,1,4,CBEC_CC2,LCCRN,6.86,N
03/29/2024,1,4,CBY4_ALL,PCCRN,4.03,N
03/29/2024,1,4,CBY4_CC1,LCCRN,4.03,N
03/29/2024,1,4,CBY_CBY_G1,RN,4.03,N
03/29/2024,1,4,CBY_CBY_G2,RN,4.03,N
03/29/2024,1,4,CCEC_CC1,LCCRN,-7.16,N
03/29/2024,1,4,CCEC_GT1,PCCRN,-7.16,N
03/29/2024,1,4,CCEC_GT2,PCCRN,-7.16,N
03/29/2024,1,4,CCEC_PUN1,PUN,-7.16,N
03/29/2024,1,4,CCEC_PUN2,PUN,-7.16,N
03/29/2024,1,4,CCEC_ST1,PCCRN,-7.16,N
03/29/2024,1,4,CEDROHI_CHW1,RN,-9.81,N
03/29/2024,1,4,CEDRVALE_RN,RN,13.01,N
03/29/2024,1,4,CFLATS_UNIT,RN,-15.11,N
03/29/2024,1,4,CHALUP_ALL,RN,-9.85,N
03/29/2024,1,4,CHAL_SLR_RN,RN,13.16,N
03/29/2024,1,4,CHAMON_UN1,RN,4.02,N
03/29/2024,1,4,CHAMON_UN2,RN,4.02,N
03/29/2024,1,4,CHEDPW_GT2,PCCRN,4,N
03/29/2024,1,4,CHE_CC1,LCCRN,4.01,N
03/29/2024,1,4,CHE_LYD,PCCRN,4.02,N
03/29/2024,1,4,CHE_LYD2,PCCRN,4.02,N
03/29/2024,1,4,CHE_PUN1,PUN,4.02,N
03/29/2024,1,4,CHE_PUN2,PUN,4.02,N
03/29/2024,1,4,CHISMGRD_RN,RN,2.82,N
03/29/2024,1,4,CISC_RN,RN,-3.22,N
03/29/2024,1,4,CITYVICT_ALL,RN,34.78,N
03/29/2024,1,4,CN_BRKS_UNT1,RN,-5.27,N
03/29/2024,1,4,COL_COLETOG1,RN,-29.32,N
03/29/2024,1,4,CONIGLIO_RN,RN,2.93,N
03/29/2024,1,4,CONTINEN_RN,RN,-9.69,N
03/29/2024,1,4,CORALSLR_ALL,RN,3.2,N
03/29/2024,1,4,CORAZON_RN,RN,-36.06,N
03/29/2024,1,4,COTPLNS_RN,RN,-5.3,N
03/29/2024,1,4,COTTON_PAP2,RN,-4.41,N
03/29/2024,1,4,COYOTSPR_RN,RN,12.99,N
03/29/2024,1,4,CPSES_UNIT1,RN,2.91,N
03/29/2024,1,4,CPSES_UNIT2,RN,2.91,N
03/29/2024,1,4,CRANELL_ALL,RN,-14.94,N
03/29/2024,1,4,CRAWFISH_RN,RN,13.76,N
03/29/2024,1,4,CROSSETT_ALL,RN,11.31,N
03/29/2024,1,4,CRWN_SLR_UN1,RN,3.22,N
03/29/2024,1,4,CSC_CSECG1_2,RN,-5.29,N
03/29/2024,1,4,CVC_CC1,LCCRN,4,N
03/29/2024,1,4,CVC_CVCG1_5,PCCRN,4,N
03/29/2024,1,4,CVC_CVC_G2,PCCRN,4,N
03/29/2024,1,4,CVC_CVC_G3,PCCRN,4,N
03/29/2024,1,4,DAG_ALL,RN,5.34,N
03/29/2024,1,4,DANSBY_ALL,RN,3.6,N
03/29/2024,1,4,DAN_ALL,RN,4.13,N
03/29/2024,1,4,DA_BESS,RN,4.79,N
03/29/2024,1,4,DC2SES_ALL,RN,2.35,N
03/29/2024,1,4,DC_E,LZ_DCEW,2.95,N
03/29/2024,1,4,DC_E,LZ_DC,2.95,N
03/29/2024,1,4,DC_L,LZ_DC,-9.75,N
03/29/2024,1,4,DC_L,LZ_DCEW,-9.75,N
03/29/2024,1,4,DC_N,LZ_DCEW,-5.35,N
03/29/2024,1,4,DC_N,LZ_DC,-5.35,N
03/29/2024,1,4,DC_R,LZ_DCEW,-9.85,N
03/29/2024,1,4,DC_R,LZ_DC,-9.85,N
03/29/2024,1,4,DDPEC_CC1,LCCRN,4.06,N
03/29/2024,1,4,DDPEC_GT1,PCCRN,4.06,N
03/29/2024,1,4,DDPEC_GT2,PCCRN,4.06,N
03/29/2024,1,4,DDPEC_GT3,PCCRN,4.06,N
03/29/2024,1,4,DDPEC_GT4,PCCRN,4.06,N
03/29/2024,1,4,DDPEC_GT6,PCCRN,4.06,N
03/29/2024,1,4,DDPEC_ST1,PCCRN,4.06,N
03/29/2024,1,4,DECKER_DPG2,RN,3.73,N
03/29/2024,1,4,DECKER_GT,RN,3.73,N
03/29/2024,1,4,DENISON_G1_2,RN,2.86,N
03/29/2024,1,4,DERMOTT_ALL,RN,-5.47,N
03/29/2024,1,4,DIBOL_RN,RN,3.18,N
03/29/2024,1,4,DIB_CC1,LCCRN,4.06,N
03/29/2024,1,4,DIB_DIB_G1,PCCRN,4.06,N
03/29/2024,1,4,DIB_DIB_G2,PCCRN,4.06,N
03/29/2024,1,4,DIB_DIB_G3,PCCRN,4.06,N
03/29/2024,1,4,DIB_DIB_G4,PCCRN,4.06,N
03/29/2024,1,4,DIB_PUN1,PUN,4.06,N
03/29/2024,1,4,DIB_PUN2,PUN,4.06,N
03/29/2024,1,4,DILEOS_UNIT1,RN,2.53,N
03/29/2024,1,4,DKNS_ESS_RN,RN,-5.35,N
03/29/2024,1,4,DOWGEN_PUN1,PUN,4.22,N
03/29/2024,1,4,DOWGEN_PUN2,PUN,4.22,N
03/29/2024,1,4,DOWGEN_PUN3,PUN,4.22,N
03/29/2024,1,4,DOW_61_2_63,RN,4.22,N
